Order,Video,Coder,Sentiment,Activation,Anger,Disgust,Fear,Surprise,Sadness,Happiness
81,2016 02 18 4,P-O R. B.,3,6,1,0,0,0,0,0
82,2015 03 12 7,P-O R. B.,2,6,0,1,0,0,0,0
83,2015 01 28 8,P-O R. B.,3,4,0,0,0,0,0,0
84,2017 11 23 9,P-O R. B.,4,6,1,0,0,0,0,0
85,2017 11 20 5,P-O R. B.,4,6,1,0,0,0,0,0
86,2017 05 05 9,P-O R. B.,8,2,1,0,0,0,0,0
87,2017 05 15 8,P-O R. B.,6,6,0,0,0,0,0,0
88,2016 11 16 9,P-O R. B.,4,5,0,0,1,0,0,0
89,2016 10 31 1,P-O R. B.,6,6,0,0,0,0,0,0
90,2016 05 09 4,P-O R. B.,2,6,0,0,0,0,0,0
91,2016 05 04 7,P-O R. B.,7,3,0,1,0,0,0,0
92,2016 01 25 8,P-O R. B.,3,7,1,1,0,0,0,0
93,2015 12 09 3,P-O R. B.,4,5,0,0,0,0,0,0
94,2015 04 29 3,P-O R. B.,4,6,1,0,0,0,0,0
95,2015 03 24 6,P-O R. B.,6,5,0,0,0,0,0,1
96,2017 12 05 3,P-O R. B.,5,4,0,0,0,0,0,0
97,2017 10 17 8,P-O R. B.,6,5,0,0,0,0,0,0
98,2017 05 15 6,P-O R. B.,5,5,0,0,0,0,0,0
99,2017 04 12 0,P-O R. B.,5,6,0,0,0,0,0,0
100,2016 10 31 2,P-O R. B.,7,6,0,0,0,0,0,0
101,2016 11 16 0,P-O R. B.,4,5,0,1,0,0,0,0
102,2016 10 06 5,P-O R. B.,6,4,1,1,0,0,0,0
103,2016 04 22 3,P-O R. B.,6,6,0,0,1,0,0,0
104,2016 04 14 7,P-O R. B.,7,7,0,0,0,0,0,1
105,2016 04 14 9,P-O R. B.,3,6,0,1,0,0,0,0
106,2015 02 17 1,P-O R. B.,6,4,0,0,0,0,0,0
107,2015 02 17 0,P-O R. B.,5,4,0,0,0,0,0,0
108,2017 10 02 5,P-O R. B.,3,7,1,0,0,0,0,0
109,2017 10 17 5,P-O R. B.,2,6,1,0,0,0,0,0
110,2017 03 23 4,P-O R. B.,8,2,1,0,1,0,0,0
111,2017 02 24 4,P-O R. B.,7,3,0,1,0,0,0,0
112,2016 11 04 5,P-O R. B.,4,5,1,0,0,0,0,0
113,2016 11 29 5,P-O R. B.,2,7,1,0,0,0,0,0
114,2016 05 09 7,P-O R. B.,6,5,0,0,0,0,0,0
115,2016 05 09 3,P-O R. B.,6,3,0,1,0,0,0,0
116,2016 01 25 0,P-O R. B.,9,5,0,0,0,0,1,0
117,2015 06 09 9,P-O R. B.,7,5,0,0,0,0,0,0
118,2015 02 17 1,P-O R. B.,7,5,0,0,0,0,0,0
119,2015 01 28 1,P-O R. B.,3,6,1,0,0,0,0,0
120,2017 10 20 0,P-O R. B.,4,5,0,0,0,0,0,0
121,2017 10 05 6,P-O R. B.,4,6,1,0,0,0,0,0
122,2017 05 18 4,P-O R. B.,5,4,0,0,0,0,0,0
123,2017 04 07 4,P-O R. B.,3,3,0,0,1,0,0,0
124,2017 02 02 6,P-O R. B.,3,6,0,0,0,0,0,0
125,2017 02 21 3,P-O R. B.,5,5,0,0,0,0,0,0
126,2016 06 15 6,P-O R. B.,5,5,0,0,1,0,0,0
127,2016 05 17 8,P-O R. B.,6,3,1,0,0,0,0,0
128,2015 06 04 0,P-O R. B.,5,5,0,0,0,0,0,0
129,2015 12 09 0,P-O R. B.,7,7,0,0,0,0,0,1
130,2015 02 20 2,P-O R. B.,2,5,0,0,0,0,0,0
